epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1625071229101,2021-06-30T18:40:29.101,0.000,0.001,-0.013,1.010
1625071229101,2021-06-30T18:40:29.101,0.000,-0.000,-0.013,1.006
1625071229103,2021-06-30T18:40:29.103,0.002,0.002,-0.023,1.011
1625071229104,2021-06-30T18:40:29.104,0.003,-0.003,-0.019,0.999
1625071229106,2021-06-30T18:40:29.106,0.005,-0.006,-0.013,1.009
1625071229107,2021-06-30T18:40:29.107,0.006,-0.004,-0.013,1.000
1625071229109,2021-06-30T18:40:29.109,0.008,0.000,-0.010,1.000
1625071229110,2021-06-30T18:40:29.110,0.009,-0.003,-0.021,1.009
1625071229110,2021-06-30T18:40:29.110,0.009,-0.005,-0.020,1.005
1625071229112,2021-06-30T18:40:29.112,0.011,-0.005,-0.022,1.011
1625071229115,2021-06-30T18:40:29.115,0.014,-0.002,-0.015,1.008
1625071229115,2021-06-30T18:40:29.115,0.014,-0.003,-0.022,1.009
1625071229116,2021-06-30T18:40:29.116,0.015,-0.000,-0.016,1.005
1625071229118,2021-06-30T18:40:29.118,0.017,-0.004,-0.021,1.001
1625071229119,2021-06-30T18:40:29.119,0.018,-0.003,-0.016,1.005
1625071229119,2021-06-30T18:40:29.119,0.018,-0.007,-0.016,0.999
1625071229121,2021-06-30T18:40:29.121,0.020,-0.002,-0.021,1.003
1625071229122,2021-06-30T18:40:29.122,0.021,0.007,-0.019,0.999
1625071229123,2021-06-30T18:40:29.123,0.022,-0.004,-0.016,1.000
1625071229125,2021-06-30T18:40:29.125,0.024,0.001,-0.014,1.007
1625071229126,2021-06-30T18:40:29.126,0.025,0.001,-0.014,1.004
1625071229128,2021-06-30T18:40:29.128,0.027,-0.001,-0.020,1.004
1625071229128,2021-06-30T18:40:29.128,0.027,-0.004,-0.022,1.005
1625071229129,2021-06-30T18:40:29.129,0.028,-0.003,-0.017,1.002
1625071229131,2021-06-30T18:40:29.131,0.030,-0.004,-0.018,1.002
1625071229132,2021-06-30T18:40:29.132,0.031,-0.003,-0.014,1.008
1625071229134,2021-06-30T18:40:29.134,0.033,-0.001,-0.015,1.006
1625071229135,2021-06-30T18:40:29.135,0.034,-0.003,-0.023,1.009
1625071229137,2021-06-30T18:40:29.137,0.036,0.001,-0.018,1.013
1625071229137,2021-06-30T18:40:29.137,0.036,0.001,-0.018,1.000
1625071229138,2021-06-30T18:40:29.138,0.037,0.000,-0.015,1.006
1625071229140,2021-06-30T18:40:29.140,0.039,-0.003,-0.018,1.000
1625071229141,2021-06-30T18:40:29.141,0.040,0.000,-0.024,1.005
1625071229143,2021-06-30T18:40:29.143,0.042,-0.007,-0.017,1.005
1625071229143,2021-06-30T18:40:29.143,0.042,0.001,-0.022,1.010
1625071229144,2021-06-30T18:40:29.144,0.043,-0.000,-0.021,1.009
1625071229145,2021-06-30T18:40:29.145,0.044,0.001,-0.027,1.008
1625071229147,2021-06-30T18:40:29.147,0.046,-0.004,-0.019,0.998
1625071229148,2021-06-30T18:40:29.148,0.047,-0.000,-0.017,1.008
1625071229150,2021-06-30T18:40:29.150,0.049,0.000,-0.018,1.000
1625071229151,2021-06-30T18:40:29.151,0.050,0.004,-0.020,1.006
1625071229151,2021-06-30T18:40:29.151,0.050,0.001,-0.018,1.013
1625071229153,2021-06-30T18:40:29.153,0.052,-0.004,-0.020,1.008
1625071229154,2021-06-30T18:40:29.154,0.053,0.001,-0.019,1.006
1625071229156,2021-06-30T18:40:29.156,0.055,-0.001,-0.018,0.999
1625071229157,2021-06-30T18:40:29.157,0.056,-0.003,-0.018,0.999
1625071229159,2021-06-30T18:40:29.159,0.058,0.001,-0.015,1.000
1625071229159,2021-06-30T18:40:29.159,0.058,-0.001,-0.022,1.008
1625071229160,2021-06-30T18:40:29.160,0.059,-0.001,-0.020,1.006
1625071229162,2021-06-30T18:40:29.162,0.061,0.000,-0.011,1.003
1625071229163,2021-06-30T18:40:29.163,0.062,-0.004,-0.010,1.006
1625071229164,2021-06-30T18:40:29.164,0.063,-0.005,-0.015,1.007
1625071229166,2021-06-30T18:40:29.166,0.065,0.005,-0.021,0.998
1625071229167,2021-06-30T18:40:29.167,0.066,0.002,-0.023,1.004
1625071229167,2021-06-30T18:40:29.167,0.066,-0.004,-0.021,1.008
1625071229169,2021-06-30T18:40:29.169,0.068,-0.004,-0.021,1.000
1625071229170,2021-06-30T18:40:29.170,0.069,0.002,-0.021,1.003
1625071229172,2021-06-30T18:40:29.172,0.071,0.001,-0.021,1.012
1625071229173,2021-06-30T18:40:29.173,0.072,0.001,-0.018,1.005
1625071229175,2021-06-30T18:40:29.175,0.074,-0.002,-0.021,1.003
1625071229175,2021-06-30T18:40:29.175,0.074,-0.003,-0.019,1.007
1625071229176,2021-06-30T18:40:29.176,0.075,-0.002,-0.020,1.011
1625071229178,2021-06-30T18:40:29.178,0.077,-0.011,-0.015,1.005
1625071229179,2021-06-30T18:40:29.179,0.078,-0.001,-0.020,1.003
1625071229181,2021-06-30T18:40:29.181,0.080,-0.004,-0.022,1.010
1625071229182,2021-06-30T18:40:29.182,0.081,-0.001,-0.021,1.011
1625071229184,2021-06-30T18:40:29.184,0.083,-0.001,-0.012,1.008
1625071229184,2021-06-30T18:40:29.184,0.083,-0.011,-0.020,1.006
1625071229185,2021-06-30T18:40:29.185,0.084,-0.005,-0.021,1.009
1625071229186,2021-06-30T18:40:29.186,0.085,-0.003,-0.017,1.005
1625071229188,2021-06-30T18:40:29.188,0.087,-0.003,-0.019,1.012
1625071229189,2021-06-30T18:40:29.189,0.088,0.000,-0.018,1.004
1625071229191,2021-06-30T18:40:29.191,0.090,0.004,-0.016,1.009
1625071229192,2021-06-30T18:40:29.192,0.091,0.000,-0.020,1.012
1625071229192,2021-06-30T18:40:29.192,0.091,-0.006,-0.017,1.009
1625071229194,2021-06-30T18:40:29.194,0.093,-0.002,-0.021,1.005
1625071229195,2021-06-30T18:40:29.195,0.094,-0.002,-0.018,1.001
1625071229197,2021-06-30T18:40:29.197,0.096,-0.006,-0.020,1.000
1625071229198,2021-06-30T18:40:29.198,0.097,-0.001,-0.020,1.001
1625071229200,2021-06-30T18:40:29.200,0.099,0.001,-0.023,0.999
1625071229200,2021-06-30T18:40:29.200,0.099,0.000,-0.019,1.001
1625071229201,2021-06-30T18:40:29.201,0.100,-0.002,-0.021,1.006
1625071229204,2021-06-30T18:40:29.204,0.103,-0.002,-0.018,1.009
1625071229204,2021-06-30T18:40:29.204,0.103,-0.002,-0.022,1.007
1625071229205,2021-06-30T18:40:29.205,0.104,0.002,-0.021,1.016
1625071229207,2021-06-30T18:40:29.207,0.106,-0.003,-0.024,1.011
1625071229208,2021-06-30T18:40:29.208,0.107,-0.000,-0.016,1.002
1625071229208,2021-06-30T18:40:29.208,0.107,0.001,-0.017,1.000
1625071229210,2021-06-30T18:40:29.210,0.109,-0.006,-0.013,1.002
1625071229211,2021-06-30T18:40:29.211,0.110,-0.005,-0.016,1.000
1625071229213,2021-06-30T18:40:29.213,0.112,-0.000,-0.023,1.007
1625071229214,2021-06-30T18:40:29.214,0.113,-0.003,-0.019,1.006
1625071229216,2021-06-30T18:40:29.216,0.115,-0.004,-0.023,1.009
1625071229216,2021-06-30T18:40:29.216,0.115,-0.001,-0.014,1.001
1625071229217,2021-06-30T18:40:29.217,0.116,-0.007,-0.021,1.010
1625071229219,2021-06-30T18:40:29.219,0.118,-0.003,-0.023,1.011
1625071229220,2021-06-30T18:40:29.220,0.119,-0.002,-0.020,1.008
1625071229222,2021-06-30T18:40:29.222,0.121,0.004,-0.017,1.003
1625071229223,2021-06-30T18:40:29.223,0.122,-0.005,-0.021,1.009
1625071229225,2021-06-30T18:40:29.225,0.124,-0.005,-0.021,1.009
1625071229225,2021-06-30T18:40:29.225,0.124,0.000,-0.022,0.999
1625071229226,2021-06-30T18:40:29.226,0.125,-0.001,-0.017,1.009
1625071229227,2021-06-30T18:40:29.227,0.126,0.002,-0.018,1.004
1625071229229,2021-06-30T18:40:29.229,0.128,0.001,-0.021,1.004
1625071229230,2021-06-30T18:40:29.230,0.129,-0.006,-0.020,1.013
1625071229232,2021-06-30T18:40:29.232,0.131,-0.001,-0.024,0.999
1625071229232,2021-06-30T18:40:29.232,0.131,0.004,-0.019,1.002
1625071229233,2021-06-30T18:40:29.233,0.132,-0.003,-0.018,1.000
1625071229235,2021-06-30T18:40:29.235,0.134,0.000,-0.023,1.006
1625071229236,2021-06-30T18:40:29.236,0.135,0.000,-0.012,1.010
1625071229238,2021-06-30T18:40:29.238,0.137,0.001,-0.022,1.002
1625071229239,2021-06-30T18:40:29.239,0.138,0.003,-0.022,1.014
1625071229241,2021-06-30T18:40:29.241,0.140,-0.001,-0.020,1.010
1625071229241,2021-06-30T18:40:29.241,0.140,-0.001,-0.021,1.014
1625071229242,2021-06-30T18:40:29.242,0.141,-0.002,-0.013,1.007
1625071229244,2021-06-30T18:40:29.244,0.143,-0.001,-0.011,1.005
1625071229245,2021-06-30T18:40:29.245,0.144,-0.001,-0.016,1.008
1625071229247,2021-06-30T18:40:29.247,0.146,-0.002,-0.022,1.008
1625071229248,2021-06-30T18:40:29.248,0.147,-0.009,-0.018,1.010
1625071229248,2021-06-30T18:40:29.248,0.147,-0.005,-0.023,1.011
1625071229249,2021-06-30T18:40:29.249,0.148,-0.004,-0.017,1.000
1625071229251,2021-06-30T18:40:29.251,0.150,-0.003,-0.019,1.001
1625071229252,2021-06-30T18:40:29.252,0.151,-0.003,-0.019,1.007
1625071229254,2021-06-30T18:40:29.254,0.153,-0.002,-0.018,1.011
1625071229255,2021-06-30T18:40:29.255,0.154,-0.006,-0.016,1.004
1625071229257,2021-06-30T18:40:29.257,0.156,-0.006,-0.019,1.002
1625071229257,2021-06-30T18:40:29.257,0.156,-0.001,-0.014,1.007
1625071229258,2021-06-30T18:40:29.258,0.157,0.000,-0.017,1.005
1625071229260,2021-06-30T18:40:29.260,0.159,-0.010,-0.023,1.001
1625071229261,2021-06-30T18:40:29.261,0.160,0.003,-0.022,1.011
1625071229263,2021-06-30T18:40:29.263,0.162,0.001,-0.023,1.007
1625071229264,2021-06-30T18:40:29.264,0.163,-0.008,-0.018,1.010
1625071229264,2021-06-30T18:40:29.264,0.163,0.001,-0.020,1.006
1625071229266,2021-06-30T18:40:29.266,0.165,-0.002,-0.023,1.006
1625071229267,2021-06-30T18:40:29.267,0.166,-0.004,-0.021,0.998
1625071229268,2021-06-30T18:40:29.268,0.167,-0.002,-0.019,1.008
1625071229270,2021-06-30T18:40:29.270,0.169,-0.005,-0.019,1.004
1625071229271,2021-06-30T18:40:29.271,0.170,0.000,-0.014,0.996
1625071229273,2021-06-30T18:40:29.273,0.172,-0.004,-0.022,1.004
1625071229273,2021-06-30T18:40:29.273,0.172,-0.005,-0.021,1.007
1625071229274,2021-06-30T18:40:29.274,0.173,-0.004,-0.017,1.000
1625071229276,2021-06-30T18:40:29.276,0.175,-0.007,-0.017,1.002
1625071229277,2021-06-30T18:40:29.277,0.176,-0.003,-0.022,1.002
1625071229279,2021-06-30T18:40:29.279,0.178,-0.001,-0.019,1.013
1625071229280,2021-06-30T18:40:29.280,0.179,0.001,-0.020,1.009
1625071229282,2021-06-30T18:40:29.282,0.181,-0.002,-0.022,1.002
1625071229282,2021-06-30T18:40:29.282,0.181,0.000,-0.023,1.007
1625071229283,2021-06-30T18:40:29.283,0.182,0.000,-0.018,1.000
1625071229285,2021-06-30T18:40:29.285,0.184,-0.001,-0.021,1.011
1625071229286,2021-06-30T18:40:29.286,0.185,-0.002,-0.022,1.002
1625071229288,2021-06-30T18:40:29.288,0.187,-0.002,-0.018,1.010
1625071229289,2021-06-30T18:40:29.289,0.188,0.004,-0.018,1.010
1625071229289,2021-06-30T18:40:29.289,0.188,0.003,-0.018,1.014
1625071229290,2021-06-30T18:40:29.290,0.189,-0.002,-0.022,1.012
1625071229292,2021-06-30T18:40:29.292,0.191,0.000,-0.021,1.005
1625071229293,2021-06-30T18:40:29.293,0.192,0.003,-0.016,1.009
1625071229295,2021-06-30T18:40:29.295,0.194,0.003,-0.023,1.008
1625071229296,2021-06-30T18:40:29.296,0.195,0.004,-0.022,1.007
1625071229298,2021-06-30T18:40:29.298,0.197,-0.003,-0.020,1.000
1625071229298,2021-06-30T18:40:29.298,0.197,-0.007,-0.017,1.010
1625071229299,2021-06-30T18:40:29.299,0.198,-0.002,-0.013,1.008
1625071229301,2021-06-30T18:40:29.301,0.200,-0.004,-0.018,0.999
1625071229302,2021-06-30T18:40:29.302,0.201,-0.005,-0.021,1.010
1625071229304,2021-06-30T18:40:29.304,0.203,-0.004,-0.024,1.006
1625071229305,2021-06-30T18:40:29.305,0.204,-0.000,-0.016,1.004
1625071229305,2021-06-30T18:40:29.305,0.204,-0.005,-0.016,1.005
1625071229307,2021-06-30T18:40:29.307,0.206,-0.001,-0.024,1.011
1625071229308,2021-06-30T18:40:29.308,0.207,0.001,-0.023,1.010
1625071229309,2021-06-30T18:40:29.309,0.208,-0.000,-0.021,0.998
1625071229311,2021-06-30T18:40:29.311,0.210,-0.001,-0.014,1.005
1625071229312,2021-06-30T18:40:29.312,0.211,-0.005,-0.017,1.006
1625071229314,2021-06-30T18:40:29.314,0.213,-0.003,-0.022,1.003
1625071229314,2021-06-30T18:40:29.314,0.213,0.005,-0.021,1.008
1625071229315,2021-06-30T18:40:29.315,0.214,-0.002,-0.018,1.004
1625071229317,2021-06-30T18:40:29.317,0.216,-0.003,-0.022,1.005
1625071229318,2021-06-30T18:40:29.318,0.217,-0.007,-0.022,0.998
1625071229320,2021-06-30T18:40:29.320,0.219,0.000,-0.024,1.008
1625071229321,2021-06-30T18:40:29.321,0.220,-0.005,-0.020,1.000
1625071229321,2021-06-30T18:40:29.321,0.220,-0.004,-0.021,1.007
1625071229323,2021-06-30T18:40:29.323,0.222,-0.000,-0.021,1.008
1625071229324,2021-06-30T18:40:29.324,0.223,-0.002,-0.014,1.002
1625071229326,2021-06-30T18:40:29.326,0.225,-0.006,-0.020,0.998
1625071229327,2021-06-30T18:40:29.327,0.226,0.000,-0.014,1.004
1625071229329,2021-06-30T18:40:29.329,0.228,-0.002,-0.024,1.002
1625071229330,2021-06-30T18:40:29.330,0.229,-0.002,-0.018,1.005
1625071229330,2021-06-30T18:40:29.330,0.229,-0.005,-0.019,1.001
1625071229331,2021-06-30T18:40:29.331,0.230,0.002,-0.017,1.007
1625071229333,2021-06-30T18:40:29.333,0.232,0.001,-0.019,1.006
1625071229334,2021-06-30T18:40:29.334,0.233,0.000,-0.016,1.005
1625071229336,2021-06-30T18:40:29.336,0.235,-0.002,-0.017,1.006
1625071229337,2021-06-30T18:40:29.337,0.236,0.002,-0.018,1.009
1625071229337,2021-06-30T18:40:29.337,0.236,-0.001,-0.015,1.012
1625071229339,2021-06-30T18:40:29.339,0.238,-0.002,-0.016,1.012
1625071229340,2021-06-30T18:40:29.340,0.239,-0.003,-0.016,1.011
1625071229342,2021-06-30T18:40:29.342,0.241,-0.001,-0.021,1.011
1625071229343,2021-06-30T18:40:29.343,0.242,-0.002,-0.021,1.002
1625071229345,2021-06-30T18:40:29.345,0.244,0.000,-0.019,1.004
1625071229346,2021-06-30T18:40:29.346,0.245,0.002,-0.018,1.013
1625071229346,2021-06-30T18:40:29.346,0.245,-0.000,-0.021,1.006
1625071229348,2021-06-30T18:40:29.348,0.247,-0.006,-0.015,1.002
1625071229349,2021-06-30T18:40:29.349,0.248,-0.000,-0.016,1.006
1625071229351,2021-06-30T18:40:29.351,0.250,0.008,-0.015,1.010
1625071229352,2021-06-30T18:40:29.352,0.251,-0.002,-0.018,1.008
1625071229353,2021-06-30T18:40:29.353,0.252,0.004,-0.019,1.001
1625071229355,2021-06-30T18:40:29.355,0.254,-0.006,-0.016,1.000
1625071229355,2021-06-30T18:40:29.355,0.254,0.002,-0.023,1.007
1625071229356,2021-06-30T18:40:29.356,0.255,-0.001,-0.024,1.008
1625071229358,2021-06-30T18:40:29.358,0.257,-0.007,-0.017,1.009
1625071229359,2021-06-30T18:40:29.359,0.258,-0.004,-0.018,1.007
1625071229361,2021-06-30T18:40:29.361,0.260,0.001,-0.017,0.998
1625071229362,2021-06-30T18:40:29.362,0.261,-0.006,-0.016,1.001
1625071229362,2021-06-30T18:40:29.362,0.261,-0.002,-0.015,1.006
1625071229364,2021-06-30T18:40:29.364,0.263,-0.003,-0.021,1.006
1625071229365,2021-06-30T18:40:29.365,0.264,-0.006,-0.023,1.000
1625071229367,2021-06-30T18:40:29.367,0.266,0.000,-0.018,1.004
1625071229368,2021-06-30T18:40:29.368,0.267,-0.002,-0.016,1.003
1625071229370,2021-06-30T18:40:29.370,0.269,-0.002,-0.017,1.009
1625071229371,2021-06-30T18:40:29.371,0.270,0.003,-0.013,1.012
1625071229371,2021-06-30T18:40:29.371,0.270,0.000,-0.017,1.005
1625071229372,2021-06-30T18:40:29.372,0.271,-0.001,-0.017,1.005
1625071229374,2021-06-30T18:40:29.374,0.273,-0.001,-0.018,1.005
1625071229375,2021-06-30T18:40:29.375,0.274,-0.002,-0.020,1.003
1625071229377,2021-06-30T18:40:29.377,0.276,0.000,-0.021,1.010
1625071229378,2021-06-30T18:40:29.378,0.277,-0.002,-0.020,1.008
1625071229378,2021-06-30T18:40:29.378,0.277,-0.004,-0.020,1.006
1625071229380,2021-06-30T18:40:29.380,0.279,-0.002,-0.019,1.004
1625071229381,2021-06-30T18:40:29.381,0.280,-0.007,-0.019,1.005
1625071229383,2021-06-30T18:40:29.383,0.282,-0.004,-0.019,1.006
1625071229384,2021-06-30T18:40:29.384,0.283,-0.002,-0.021,1.002
1625071229386,2021-06-30T18:40:29.386,0.285,-0.005,-0.019,1.002
1625071229387,2021-06-30T18:40:29.387,0.286,-0.001,-0.022,1.007
1625071229387,2021-06-30T18:40:29.387,0.286,-0.000,-0.021,1.004
1625071229389,2021-06-30T18:40:29.389,0.288,-0.008,-0.021,1.005
1625071229390,2021-06-30T18:40:29.390,0.289,-0.007,-0.016,0.992
1625071229392,2021-06-30T18:40:29.392,0.291,-0.002,-0.017,1.003
1625071229393,2021-06-30T18:40:29.393,0.292,-0.003,-0.017,1.002
1625071229394,2021-06-30T18:40:29.394,0.293,-0.001,-0.018,1.005
1625071229394,2021-06-30T18:40:29.394,0.293,-0.006,-0.019,1.004
1625071229396,2021-06-30T18:40:29.396,0.295,0.004,-0.020,1.011
1625071229397,2021-06-30T18:40:29.397,0.296,0.002,-0.015,1.005
1625071229399,2021-06-30T18:40:29.399,0.298,0.000,-0.014,0.994
1625071229400,2021-06-30T18:40:29.400,0.299,-0.003,-0.019,1.003
1625071229402,2021-06-30T18:40:29.402,0.301,-0.004,-0.014,1.000
1625071229403,2021-06-30T18:40:29.403,0.302,-0.001,-0.016,0.999
1625071229403,2021-06-30T18:40:29.403,0.302,-0.007,-0.015,1.001
1625071229405,2021-06-30T18:40:29.405,0.304,0.004,-0.020,1.012
1625071229406,2021-06-30T18:40:29.406,0.305,-0.003,-0.014,1.000
1625071229408,2021-06-30T18:40:29.408,0.307,-0.006,-0.015,1.006
1625071229409,2021-06-30T18:40:29.409,0.308,0.001,-0.018,1.007
1625071229411,2021-06-30T18:40:29.411,0.310,-0.002,-0.026,1.003
1625071229411,2021-06-30T18:40:29.411,0.310,-0.004,-0.021,1.008
1625071229412,2021-06-30T18:40:29.412,0.311,0.002,-0.017,1.005
1625071229413,2021-06-30T18:40:29.413,0.312,-0.006,-0.015,1.006
1625071229415,2021-06-30T18:40:29.415,0.314,-0.001,-0.015,0.999
1625071229416,2021-06-30T18:40:29.416,0.315,-0.002,-0.015,0.994
1625071229418,2021-06-30T18:40:29.418,0.317,0.002,-0.015,1.009
1625071229419,2021-06-30T18:40:29.419,0.318,0.001,-0.021,1.008
1625071229419,2021-06-30T18:40:29.419,0.318,-0.006,-0.017,1.004
1625071229421,2021-06-30T18:40:29.421,0.320,0.000,-0.022,1.004
1625071229422,2021-06-30T18:40:29.422,0.321,0.003,-0.018,1.005
1625071229424,2021-06-30T18:40:29.424,0.323,0.003,-0.019,1.008
1625071229425,2021-06-30T18:40:29.425,0.324,-0.002,-0.019,1.007
1625071229427,2021-06-30T18:40:29.427,0.326,-0.005,-0.017,0.997
1625071229428,2021-06-30T18:40:29.428,0.327,-0.003,-0.017,1.008
1625071229428,2021-06-30T18:40:29.428,0.327,-0.004,-0.019,1.000
1625071229430,2021-06-30T18:40:29.430,0.329,-0.005,-0.014,1.003
1625071229431,2021-06-30T18:40:29.431,0.330,0.005,-0.019,0.999
1625071229433,2021-06-30T18:40:29.433,0.332,-0.004,-0.018,1.000
1625071229434,2021-06-30T18:40:29.434,0.333,-0.009,-0.021,1.005
1625071229435,2021-06-30T18:40:29.435,0.334,0.000,-0.017,1.003
1625071229435,2021-06-30T18:40:29.435,0.334,-0.010,-0.019,1.000
1625071229437,2021-06-30T18:40:29.437,0.336,-0.002,-0.021,1.009
1625071229438,2021-06-30T18:40:29.438,0.337,-0.006,-0.016,1.009
1625071229440,2021-06-30T18:40:29.440,0.339,0.002,-0.021,0.999
1625071229441,2021-06-30T18:40:29.441,0.340,-0.003,-0.021,1.010
1625071229443,2021-06-30T18:40:29.443,0.342,0.000,-0.017,1.009
1625071229444,2021-06-30T18:40:29.444,0.343,-0.005,-0.020,1.013
1625071229444,2021-06-30T18:40:29.444,0.343,-0.000,-0.019,1.012
1625071229446,2021-06-30T18:40:29.446,0.345,-0.001,-0.019,1.010
1625071229447,2021-06-30T18:40:29.447,0.346,-0.002,-0.019,1.002
1625071229449,2021-06-30T18:40:29.449,0.348,-0.006,-0.021,1.002
1625071229450,2021-06-30T18:40:29.450,0.349,0.001,-0.017,1.000
1625071229452,2021-06-30T18:40:29.452,0.351,-0.001,-0.019,1.004
1625071229452,2021-06-30T18:40:29.452,0.351,-0.005,-0.026,1.003
1625071229453,2021-06-30T18:40:29.453,0.352,-0.001,-0.020,1.005
1625071229455,2021-06-30T18:40:29.455,0.354,-0.003,-0.019,1.008
1625071229456,2021-06-30T18:40:29.456,0.355,-0.003,-0.019,1.000
1625071229457,2021-06-30T18:40:29.457,0.356,-0.002,-0.019,1.004
1625071229459,2021-06-30T18:40:29.459,0.358,-0.004,-0.015,1.004
1625071229460,2021-06-30T18:40:29.460,0.359,-0.001,-0.019,1.003
1625071229460,2021-06-30T18:40:29.460,0.359,-0.000,-0.021,1.001
1625071229462,2021-06-30T18:40:29.462,0.361,-0.005,-0.020,1.004
1625071229463,2021-06-30T18:40:29.463,0.362,0.001,-0.021,1.014
1625071229465,2021-06-30T18:40:29.465,0.364,-0.004,-0.017,1.008
1625071229466,2021-06-30T18:40:29.466,0.365,-0.002,-0.018,1.007
1625071229468,2021-06-30T18:40:29.468,0.367,0.001,-0.018,1.009
1625071229468,2021-06-30T18:40:29.468,0.367,-0.002,-0.018,1.000
1625071229469,2021-06-30T18:40:29.469,0.368,0.003,-0.023,1.009
1625071229471,2021-06-30T18:40:29.471,0.370,-0.000,-0.019,1.010
1625071229472,2021-06-30T18:40:29.472,0.371,-0.003,-0.018,1.006
1625071229474,2021-06-30T18:40:29.474,0.373,-0.006,-0.021,1.009
1625071229475,2021-06-30T18:40:29.475,0.374,-0.002,-0.015,1.009
1625071229476,2021-06-30T18:40:29.476,0.375,-0.004,-0.019,1.002
1625071229476,2021-06-30T18:40:29.476,0.375,-0.005,-0.020,0.999
1625071229478,2021-06-30T18:40:29.478,0.377,-0.002,-0.023,1.012
1625071229479,2021-06-30T18:40:29.479,0.378,-0.003,-0.021,1.006
1625071229481,2021-06-30T18:40:29.481,0.380,-0.001,-0.018,1.003
1625071229482,2021-06-30T18:40:29.482,0.381,-0.002,-0.020,1.010
1625071229484,2021-06-30T18:40:29.484,0.383,0.001,-0.015,1.001
1625071229484,2021-06-30T18:40:29.484,0.383,-0.004,-0.020,1.007
1625071229485,2021-06-30T18:40:29.485,0.384,-0.006,-0.021,1.013
1625071229487,2021-06-30T18:40:29.487,0.386,0.003,-0.022,1.011
1625071229488,2021-06-30T18:40:29.488,0.387,0.005,-0.017,1.002
1625071229490,2021-06-30T18:40:29.490,0.389,-0.001,-0.020,1.003
1625071229491,2021-06-30T18:40:29.491,0.390,-0.001,-0.018,1.004
1625071229493,2021-06-30T18:40:29.493,0.392,-0.005,-0.023,1.007
1625071229493,2021-06-30T18:40:29.493,0.392,-0.004,-0.025,1.006
1625071229494,2021-06-30T18:40:29.494,0.393,-0.005,-0.014,1.001
1625071229496,2021-06-30T18:40:29.496,0.395,-0.005,-0.020,1.003
1625071229497,2021-06-30T18:40:29.497,0.396,-0.003,-0.017,1.002
1625071229498,2021-06-30T18:40:29.498,0.397,0.001,-0.017,1.003
1625071229500,2021-06-30T18:40:29.500,0.399,-0.001,-0.017,1.009
1625071229501,2021-06-30T18:40:29.501,0.400,-0.001,-0.020,1.007
1625071229501,2021-06-30T18:40:29.501,0.400,-0.002,-0.021,1.015
1625071229503,2021-06-30T18:40:29.503,0.402,-0.006,-0.016,1.006
1625071229504,2021-06-30T18:40:29.504,0.403,-0.001,-0.015,1.001
1625071229506,2021-06-30T18:40:29.506,0.405,-0.004,-0.021,1.013
1625071229507,2021-06-30T18:40:29.507,0.406,-0.009,-0.019,1.002
1625071229509,2021-06-30T18:40:29.509,0.408,-0.002,-0.021,1.005
1625071229509,2021-06-30T18:40:29.509,0.408,-0.004,-0.018,1.012
1625071229510,2021-06-30T18:40:29.510,0.409,-0.000,-0.016,1.002
1625071229512,2021-06-30T18:40:29.512,0.411,-0.002,-0.018,1.004
1625071229513,2021-06-30T18:40:29.513,0.412,0.000,-0.021,1.006
1625071229515,2021-06-30T18:40:29.515,0.414,-0.004,-0.018,0.998
1625071229516,2021-06-30T18:40:29.516,0.415,-0.005,-0.021,1.001
1625071229518,2021-06-30T18:40:29.518,0.417,-0.001,-0.016,1.005
1625071229518,2021-06-30T18:40:29.518,0.417,-0.006,-0.025,1.008
1625071229519,2021-06-30T18:40:29.519,0.418,-0.003,-0.016,1.009
1625071229520,2021-06-30T18:40:29.520,0.419,-0.007,-0.018,1.008
1625071229522,2021-06-30T18:40:29.522,0.421,-0.001,-0.016,1.008
1625071229523,2021-06-30T18:40:29.523,0.422,0.000,-0.020,1.010
1625071229525,2021-06-30T18:40:29.525,0.424,0.003,-0.019,1.007
1625071229525,2021-06-30T18:40:29.525,0.424,0.001,-0.018,1.006
1625071229528,2021-06-30T18:40:29.528,0.427,0.002,-0.021,1.004
1625071229528,2021-06-30T18:40:29.528,0.427,0.001,-0.018,1.000
1625071229529,2021-06-30T18:40:29.529,0.428,0.000,-0.020,1.012
1625071229531,2021-06-30T18:40:29.531,0.430,-0.005,-0.021,1.007
1625071229532,2021-06-30T18:40:29.532,0.431,-0.002,-0.018,1.012
1625071229534,2021-06-30T18:40:29.534,0.433,0.000,-0.020,1.005
1625071229534,2021-06-30T18:40:29.534,0.433,-0.004,-0.010,1.004
1625071229535,2021-06-30T18:40:29.535,0.434,-0.004,-0.018,1.009
1625071229537,2021-06-30T18:40:29.537,0.436,-0.002,-0.020,1.000
1625071229538,2021-06-30T18:40:29.538,0.437,0.000,-0.013,1.002
1625071229539,2021-06-30T18:40:29.539,0.438,-0.004,-0.025,1.005
1625071229541,2021-06-30T18:40:29.541,0.440,-0.006,-0.018,1.004
1625071229541,2021-06-30T18:40:29.541,0.440,-0.000,-0.023,1.009
1625071229542,2021-06-30T18:40:29.542,0.441,-0.005,-0.021,1.009
1625071229544,2021-06-30T18:40:29.544,0.443,0.002,-0.021,1.007
1625071229545,2021-06-30T18:40:29.545,0.444,0.002,-0.019,1.008
1625071229547,2021-06-30T18:40:29.547,0.446,0.002,-0.022,1.004
